node_id	osm_name	lat	lon	watercourse	feature_id	feature_name	metres
551674635	Twin Boulder Falls	35.309	-82.850875	Right Fork Davidson River	666	Twin Boulder Falls	27
551677165	Upper Courthouse Falls	35.284014	-82.8994353	Courthouse Creek			
551692782	Lake Falls	35.260116	-82.475237	Greer Creek			
551799392	Johnnies Creek Falls	35.237166	-82.914104	Johnnies Creek	893	Johnnies Creek Falls	29
551805707	Saxifrage Falls	35.259292	-82.776003	King Creek	584	Saxifrage Falls	18
551816344	Merry Falls	35.200486	-82.6436376	East Fork Laurel Creek	482	Merry Falls	14
551816403	Christmas Falls	35.2017006	-82.6436689	East Fork Laurel Creek			
551834230		36.0407367	-82.6251685	Dry Creek			
551857993	Hooker Falls	35.2018277	-82.6234273	Little River	417	Hooker Falls	45
552033544	Needles Falls	35.8763701	-82.8032319				
553132095	Buzzard Roost Falls	35.8220221	-83.1777197				
553139812	Ivestor Ridge Falls	35.341725	-82.848955	Greasy Cove Prong	871	Ivestor Ridge Falls	18
553194341	Upper Dark Prong Falls	35.331681	-82.857512	Dark Prong	822	Upper Dark Prong Falls	18
553195027	Serpentine Falls	35.3285606	-82.8406723	Dark Prong	823	Serpentine Falls	50
553196628	Bubbling Spring Branch Cascades	35.3136521	-82.9095319	Bubbling Spring Branch	427	Bubbling Springs Cascades (Guardrail Falls)	8
553197727	Sam Branch Falls	35.3387271	-82.8912921	Sam Branch	838	Sam Branch Falls	21
553244946	Wildcat Falls	35.3139905	-82.9043399	Silver Mine Branch	428	Wildcat Falls (Flat Laurel Creek)	32
553274894	Lyn Lowry Falls	35.47434	-83.113758		1174	Lyn Lowry Falls	24
553426013	Josiah Falls	36.114586	-82.535767	Devil Fork			
553522441		36.1447696	-82.3209533	Dick Creek			
553523925	Margarette Falls	36.0563196	-82.7172245	West Fork Dry Creek			
553547250	Hell Hollow Falls	36.1343901	-82.5366065				
553579914	Birchfield Camp Falls	36.088682	-82.5387605	Birchfield Camp Branch			
553618477	Whiteoak Creek Falls	35.826703	-82.220571	Whiteoak Creek	573	Whiteoak Creek Falls	13
553738060	Red Fork Falls	36.150134	-82.261681	Red Fork			
553748255		36.1519725	-82.3268428	Dick Creek			
553824151	Big Creek Falls	36.039489	-82.376329	Big Creek	888	Big Creek Falls	9
553919530		35.9979425	-82.6062106	Sugarloaf Branch			
553978613	Split Rock Falls	35.794507	-82.240994	Middle Creek, North Prong			
553978625	Timber Falls	35.794331	-82.240711	Middle Creek, North Prong			
553990237	Martin Creek Falls	36.11642	-82.389536	Martin Creek			
