667	Big Bearwallow Falls	0	75
668	Mooney Falls	0	75
688	Kings Creek Falls	0	75
738	Spicoli Falls	0	75
749	Misty Falls	0	75
764	Queens Falls	0	75
828	Woodfin Cascades	0	75
941	Step Around Falls	0	75
951	Secret Falls (DuPont)	0	75
970	Magic School Bus Falls	0	75
971	Sign Post Falls (GA)	0	75
984	22 Foot Falls	0	75
995	Waterfall on Ramsey Prong	1	75
996	Mr T's Cascade	1	75
1141	Upper Limber Pole Falls	1	75
1153	Distillery Falls	0	75
1159	Thompson Trib Falls (Keyhole Access Falls)	0	75
1160	Musterground Road Falls	0	75
1161	Hal's Falls	0	75
1172	Mile High Falls	0	75
1208	950 Red Eft Falls etc.	0	75
1218	Upper Sheep Cave Falls (TN)	0	75
1219	Lower Sheep Cave Falls (TN)	0	75
1232	Laurel Falls	0	75
1233	Cataract Falls	0	75
1234	Meigs Creek Cascade	0	75
1239	Waterfall on Tobes Creek	0	75
1242	Meigs Falls	0	75
1247	The Sinks	0	75
1251	Waterfall on Sweet Branch	0	75
1271	Climbing Wall Falls (Looking Glass Creek)	0	75
1273	Bear Creek and Wolf Creek Lakes	0	75
1284	Falls Lake S.R.A.	0	75
1287	Goose Creek S.P.	0	75
1296	Pines Recreation Area	0	75
1308	Black Eft Falls	0	75
1309	D Eft Falls	0	75
1310	Hidden Cl Eft Falls	0	75
